source	key_or_zh	russian
code	深夜无光环境	Глубокая ночь без света
code	自然肤色表现	Естественная передача тона кожи
code	暖调氛围	Тёплая атмосфера
code	适合光线充足的场景，色彩鲜艳、清晰度高、颜色偏冷（不发黄），适合晴天拍摄风景和静物	Для хорошо освещённых сцен: яркие цвета, высокая чёткость, холодноватый тон без желтизны — для пейзажей и натюрмортов в ясную погоду
code	日常生活抓拍	Съёмка повседневной жизни
code	阴天或多云	Пасмурно или облачно
code	室内靠窗位置	У окна в помещении
code	肤色要求极高的人像	Портрет с высокими требованиями к тону кожи
code	适合日常随手拍， 适应性强（阴天能用）、色彩偏冷（阴影发绿），有生活气息和“故事感”	Для повседневной съёмки: универсален и в пасмурную погоду, холодноватые цвета с зеленцой в тенях, с атмосферой жизни и сюжетностью
code	静物摄影	Съёмка натюрморта
code	专业人像写真	Профессиональный студийный портрет
code	明亮的旅行风光	Яркие пейзажи путешествий
code	阴天或傍晚	Пасмурно или сумерки
code	非常适合光线充足、追求画质细腻的场景，“极度细腻、真实还原、高级暖调”的风格	Отлично для хорошо освещённых сцен с тонкой детализацией — стиль «предельная детализация, точная передача, благородный тёплый тон»
code	闪光灯摄影	Съёмка со вспышкой
code	日落与黄金时刻	Закат и золотой час
code	美式复古	Американский винтаж
code	阴雨天	Дождливая погода
code	追求白皙肤色	Для светлого тона кожи
code	这款滤镜是为阳光而生，暖黄、怀旧、颗粒感、阳光的味道	Этот фильтр создан для солнца: тёплый жёлтый, ностальгия, зерно и солнечное настроение
code	旅行生活记录	Хроника путешествий и жизни
code	逆光人像	Портрет в контровом свете
code	室内自然光	Естественный свет в помещении
code	追求极致冷淡风	Для предельно холодного минимализма
code	全能且精致，有极高的宽容度、温暖的高光，几乎适用于任何场景	Универсальный и утончённый: очень высокий динамический диапазон, тёплые света — почти для любой сцены
code	复古风格	Винтажный стиль
code	夜景和街头霓虹灯	Ночь и уличный неон
code	室内弱光环境	Слабое освещение в помещении
code	阳光强烈的正午	Яркий солнечный полдень
code	追求皮肤白皙	Для светлой кожи
code	德系冷调、高反差、独特红调，非常适合、明亮、干净的场景	Немецкий холодный тон, высокий контраст, особые красные оттенки — отлично для ярких и чистых сцен
code	日常人像	Повседневный портрет
code	不过度修饰、真实、日系肤色、日常万能	Без излишней ретуши, реалистичный, японский тон кожи — универсален на каждый день
code	高曝光	Высокая экспозиция
code	情书风	Стиль любовного письма
code	冷白皮人像	Портрет с холодной светлой кожей
code	高曝光人像、冷白皮、适合拯救废片	Портрет с высокой экспозицией и холодной светлой кожей — спасает неудачные кадры
code	朦胧感	Дымка
code	瑕疵遮挡	Маскировка недостатков
code	低对比度、自带柔光效果、适合弱化面部瑕疵	Низкий контраст и мягкое свечение — сглаживает недостатки кожи
code	清冷感	Прохладное настроение
code	秋冬海边	Осенне-зимнее побережье
code	明显的冷色调、适合营造青春的忧郁和疏离感	Выраженный холодный тон — создаёт юношескую меланхолию и отстранённость
code	夏日胶片感	Летняя плёнка
code	阳光下人像	Портрет на солнце
code	健康活力	Здоровье и энергия
code	明显的暖色调、适合阳光下凸显健康肤色	Выраженный тёплый тон — подчёркивает здоровый тон кожи на солнце
code	光影质感	Фактура света и тени
code	黑白写真	Чёрно-белый портрет
code	高极简主义	Максимальный минимализм
code	细腻灰阶过渡、丰富暗部细节、经典胶片颗粒、拥有呼吸感的黑白	Тонкие переходы серого, богатые детали в тенях, классическое плёночное зерно — дышащее чёрно-белое
code	情绪特写	Эмоциональный крупный план
code	复古黑白	Винтажное чёрно-белое
code	树林/自然背景	Лес / природный фон
code	故事感	Сюжетность
code	强化肤色质感、深邃唇色、提亮背景绿植、适合展现面部情绪	Подчёркивает фактуру кожи и глубокий цвет губ, осветляет зелень фона — для передачи эмоций лица
code	拍照主体	Объект съёмки
code	（公测阶段）	 (бета)
code	较远的主体	Удалённый объект
code	更多构图思路	Больше идей компоновки
code	AI 构图	ИИ-компоновка
code	中远景别	Средний и дальний план
code	长按标记	Удерживайте для отметки
code	重新选择	Выбрать заново
code	取消当前主体选择	Отменить выбор объекта
code	无法恢复	Восстановить невозможно
code	7 个工作日	7 рабочих дней
code	重新登录可解除注销	Повторный вход отменяет удаление
code	微信未安装	WeChat не установлен
code	无限次	Безлимитно
code	AI 滤镜	ИИ-фильтр
code	✅ 删除成功：	✅ Удалено: 
code	❌ 删除失败或用户拒绝：	❌ Ошибка удаления или отказ пользователя: 
code	/月	/мес
code	折算每天约 	≈ в день 
code	24小时随时陪你拍照记录	рядом 24 часа в сутки для ваших снимков
code	远非价格可衡量	не измерить ценой
code	¥200+/小时	¥200+/час
code	微信分享失败	Не удалось поделиться через WeChat
code	微信分享成功	Отправлено через WeChat
